episode,model,avg_payoff
1,DQN,1.0
2,DQN,1.0
3,DQN,2.0
4,DQN,1.625
5,DQN,-0.3
6,DQN,0.08333333333333333
7,DQN,0.35714285714285715
8,DQN,0.8125
9,DQN,0.8333333333333334
10,DQN,0.8
11,DQN,1.6363636363636365
12,DQN,1.5833333333333333
13,DQN,1.5
14,DQN,1.4285714285714286
15,DQN,1.4
16,DQN,1.34375
17,DQN,1.3235294117647058
18,DQN,1.6388888888888888
19,DQN,1.605263157894737
20,DQN,1.625
21,DQN,1.6428571428571428
22,DQN,1.6136363636363635
23,DQN,1.565217391304348
24,DQN,1.5416666666666667
25,DQN,1.52
26,DQN,1.6153846153846154
27,DQN,1.9259259259259258
28,DQN,2.142857142857143
29,DQN,2.086206896551724
30,DQN,2.1166666666666667
31,DQN,2.064516129032258
32,DQN,2.03125
33,DQN,1.9848484848484849
34,DQN,2.073529411764706
35,DQN,2.0285714285714285
36,DQN,1.7222222222222223
37,DQN,1.662162162162162
38,DQN,1.644736842105263
39,DQN,1.6282051282051282
40,DQN,1.6625
41,DQN,1.6341463414634145
42,DQN,1.6428571428571428
43,DQN,1.697674418604651
44,DQN,1.6704545454545454
45,DQN,1.6444444444444444
46,DQN,1.673913043478261
47,DQN,1.648936170212766
48,DQN,1.625
49,DQN,1.6326530612244898
50,DQN,1.78
51,DQN,1.7647058823529411
52,DQN,1.8076923076923077
53,DQN,1.7924528301886793
54,DQN,1.7685185185185186
55,DQN,1.7545454545454546
56,DQN,1.9375
57,DQN,1.9385964912280702
58,DQN,1.9224137931034482
59,DQN,1.9067796610169492
60,DQN,1.8916666666666666
61,DQN,1.8688524590163935
62,DQN,1.846774193548387
63,DQN,1.9603174603174602
64,DQN,1.9375
65,DQN,1.7230769230769232
66,DQN,1.7575757575757576
67,DQN,1.7462686567164178
68,DQN,1.75
69,DQN,1.7318840579710144
70,DQN,1.75
71,DQN,1.7535211267605635
72,DQN,1.7708333333333333
73,DQN,1.773972602739726
74,DQN,1.777027027027027
75,DQN,1.76
76,DQN,1.763157894736842
77,DQN,1.8051948051948052
78,DQN,1.8076923076923077
79,DQN,1.6329113924050633
80,DQN,1.625
81,DQN,1.6296296296296295
82,DQN,1.6158536585365855
83,DQN,1.644578313253012
84,DQN,1.630952380952381
85,DQN,1.6235294117647059
86,DQN,1.6104651162790697
87,DQN,1.5977011494252873
88,DQN,1.4659090909090908
89,DQN,1.4606741573033708
90,DQN,1.4666666666666666
91,DQN,1.4835164835164836
92,DQN,1.4891304347826086
93,DQN,1.478494623655914
94,DQN,1.4734042553191489
95,DQN,1.5
96,DQN,1.5052083333333333
97,DQN,1.5
98,DQN,1.4948979591836735
99,DQN,1.5101010101010102
100,DQN,1.415
101,DQN,1.301980198019802
102,DQN,1.4264705882352942
103,DQN,1.4174757281553398
104,DQN,1.4423076923076923
105,DQN,1.4333333333333333
106,DQN,1.4575471698113207
107,DQN,1.47196261682243
108,DQN,1.4768518518518519
109,DQN,1.6009174311926606
110,DQN,1.5909090909090908
111,DQN,1.5810810810810811
112,DQN,1.6116071428571428
113,DQN,1.668141592920354
114,DQN,1.6973684210526316
115,DQN,1.7434782608695651
116,DQN,1.7370689655172413
117,DQN,1.7307692307692308
118,DQN,1.75
119,DQN,1.7394957983193278
120,DQN,1.7583333333333333
121,DQN,1.7851239669421488
122,DQN,1.7295081967213115
123,DQN,1.7195121951219512
124,DQN,1.721774193548387
125,DQN,1.732
126,DQN,1.742063492063492
127,DQN,1.736220472440945
128,DQN,1.74609375
129,DQN,1.7945736434108528
130,DQN,1.7884615384615385
131,DQN,1.782442748091603
132,DQN,1.7765151515151516
133,DQN,1.6954887218045114
134,DQN,1.6865671641791045
135,DQN,1.6777777777777778
136,DQN,1.5845588235294117
137,DQN,1.5766423357664234
138,DQN,1.6304347826086956
139,DQN,1.6330935251798562
140,DQN,1.6714285714285715
141,DQN,1.6312056737588652
142,DQN,1.6549295774647887
143,DQN,1.6713286713286712
144,DQN,1.6631944444444444
145,DQN,1.6793103448275861
146,DQN,1.6746575342465753
147,DQN,1.6768707482993197
148,DQN,1.7060810810810811
149,DQN,1.721476510067114
150,DQN,1.7133333333333334
151,DQN,1.7086092715231789
152,DQN,1.7236842105263157
153,DQN,1.7189542483660132
154,DQN,1.7110389610389611
155,DQN,1.7451612903225806
156,DQN,1.7788461538461537
157,DQN,1.7802547770700636
158,DQN,1.8006329113924051
159,DQN,1.7924528301886793
160,DQN,1.7875
161,DQN,1.779503105590062
162,DQN,1.7746913580246915
163,DQN,1.8006134969325154
164,DQN,1.8079268292682926
165,DQN,1.8333333333333333
166,DQN,1.8403614457831325
167,DQN,1.847305389221557
168,DQN,1.8601190476190477
169,DQN,1.8846153846153846
170,DQN,1.9088235294117648
171,DQN,1.9210526315789473
