episode,payoff
1,-3.0
2,1.0
3,2.0
4,2.0
5,4.0
6,1.0
7,0.5
8,-2.0
9,0.5
10,-4.0
11,-2.0
12,-0.5
13,-0.5
14,-2.0
15,0.5
16,-0.5
17,4.0
18,3.0
19,-3.0
20,1.0
21,-1.0
22,-9.0
23,2.0
24,-1.0
25,-0.5
26,0.5
27,-1.0
28,-0.5
29,-0.5
30,2.0
31,-2.0
32,-1.0
33,1.0
34,-0.5
35,-0.5
36,0.5
37,-0.5
38,0.5
39,-1.0
40,-2.0
41,-3.0
42,0.5
43,2.0
44,5.0
45,-0.5
46,-5.0
47,-0.5
48,-4.0
49,-0.5
50,-2.0
51,1.0
52,-0.5
53,-1.0
54,-0.5
55,2.0
56,2.0
57,-1.0
58,3.0
59,-8.0
60,2.0
61,-1.0
62,0.5
63,0.5
64,1.0
65,1.0
66,1.0
67,-1.0
68,-0.5
69,-3.0
70,-2.0
71,-0.5
72,2.0
73,0.5
74,-1.0
75,1.0
76,-2.0
77,2.0
78,-0.5
79,8.0
80,2.0
81,0.5
82,3.0
83,-3.0
84,-2.0
85,0.5
86,2.0
87,-3.0
88,-1.0
89,1.0
90,-1.0
91,-0.5
92,0.5
93,1.0
94,-3.0
95,-5.0
96,3.0
97,0.5
98,-1.0
99,-2.0
100,-0.5
101,-2.0
102,0.5
103,-3.0
104,0.5
105,-0.5
106,4.0
107,-0.5
108,-2.0
109,-2.0
110,2.0
111,0.5
112,-0.5
113,-1.0
114,3.0
115,1.0
116,1.0
117,1.0
118,0.0
119,-1.0
120,-1.0
121,0.5
122,0.5
123,-8.0
124,-0.5
125,-2.0
126,-1.0
127,1.0
128,-1.0
129,2.0
130,3.0
131,0.5
132,2.0
133,0.5
134,2.0
135,-1.0
136,3.0
137,-0.5
138,-1.0
139,1.0
140,-0.5
141,-7.0
142,1.0
143,3.0
144,-0.5
145,3.0
146,0.5
147,3.0
148,-0.5
149,-5.0
150,-1.0
151,-2.0
152,1.0
153,0.5
154,-1.0
155,-1.0
156,-2.0
157,2.0
158,-3.0
159,-1.0
160,-3.0
161,-2.0
162,1.0
163,-3.0
164,-0.5
165,-0.5
166,-6.0
167,-0.5
168,-5.0
169,2.0
170,-2.0
171,-0.5
172,1.0
173,-5.0
174,0.5
175,-0.5
176,-2.0
177,2.0
178,0.5
179,-0.5
180,0.5
181,-1.0
182,-1.0
183,2.0
184,0.5
185,-1.0
186,-0.5
187,-1.0
188,-1.0
189,0.5
190,0.5
191,1.0
192,-0.5
193,-1.0
194,3.0
195,-2.0
196,-4.0
197,-0.5
198,2.0
199,-3.0
200,0.5
201,3.0
202,1.0
203,1.0
204,-0.5
205,0.5
206,0.5
207,1.0
208,3.0
209,1.0
210,-0.5
211,-1.0
212,0.5
213,1.0
214,-1.0
215,1.0
216,-0.5
217,5.0
218,0.5
219,2.0
220,-2.0
221,2.0
222,0.5
223,-0.5
224,3.0
225,-1.0
226,-1.0
227,-1.0
228,-2.0
229,1.0
230,5.0
231,-3.0
232,-1.0
233,-1.0
234,1.0
235,0.5
236,2.0
237,0.5
238,1.0
239,-1.0
240,-1.0
241,1.0
242,-0.5
243,-2.0
244,-2.0
245,2.0
246,-2.0
247,-0.5
248,-2.0
249,2.0
250,-0.5
251,0.5
252,-0.5
253,-1.0
254,0.5
255,-0.5
256,1.0
257,0.5
258,-1.0
259,2.0
260,4.0
261,0.5
262,1.0
263,2.0
264,0.5
265,-1.0
266,1.0
267,4.0
268,-2.0
269,-3.0
270,-0.5
271,-1.0
272,0.5
273,1.0
274,1.0
275,2.0
